Year,Smoothing,TransectID,GAN_dist_m,GT_dist_m,GAN_is_multipoint,abs_error_m
2021,gaussian,47,26.269421718858553,5.946537469390364,False,20.32288424946819
2021,gaussian,48,14.170690681144947,4.0092485577915795,False,10.161442123353368
2021,gaussian,52,-14.385741900186986,-34.70862614689395,False,20.322884246706963
2021,gaussian,55,-10.520542707585264,-20.681984830938745,False,10.161442123353481
2021,gaussian,57,15.604845917958528,-4.718038328748662,False,20.32288424670719
2021,gaussian,59,-22.15011213812477,-52.44374276799181,False,30.29363062986704
2021,gaussian,60,9.308603447745668,-11.014280798961408,False,20.322884246707076
2021,gaussian,63,12.547961981967092,2.4500851063058917,False,10.0978768756612
2021,gaussian,64,-26.66902284324169,-6.473269092384726,False,20.195753750856966
2021,gaussian,65,-35.592360764249634,-15.396607010765479,False,20.195753753484155
2021,gaussian,66,26.716117729490975,16.554675606137607,True,10.161442123353368
2021,gaussian,67,-5.70551390433684,-26.028398151043802,False,20.322884246706963
2021,gaussian,68,-38.61148885993623,12.19572176390966,False,50.80721062384589
2021,gaussian,69,9.203589729499072,-10.992164021357894,False,20.195753750856966
2021,gaussian,70,-29.93554848874919,0.5487778813113664,False,30.484326370060558
2021,gaussian,75,,-474.5488489330746,True,
2021,gaussian,76,-369.28977977560135,,True,
2021,gaussian,79,-307.83680147636915,,True,
2021,gaussian,81,-121.88961459929124,,True,
2021,gaussian,83,451.54055815521895,-351.2133695885424,True,802.7539277437613
2021,gaussian,84,-49.14905993928801,-321.7917355765876,True,272.6426756372996
2021,gaussian,88,-79.18703085370373,-89.28490772936505,True,10.097876875661314
2021,gaussian,89,295.0216744374484,295.0216744374484,True,0.0
2021,gaussian,90,-280.8509379969911,-301.04669174784806,True,20.195753750856966
2021,gaussian,93,-355.35327380057424,-375.5490275514312,True,20.195753750856966
2021,gaussian,96,-156.19925222807808,-207.00646284472907,True,50.80721061665099
2021,gaussian,97,-33.293293864349835,,True,
2021,gaussian,98,245.23059959575767,,True,
2021,gaussian,100,-335.7149254612159,,True,
2021,gaussian,101,,,True,
2021,gaussian,106,251.80829665996134,443.66795729333535,True,191.859660633374
2021,gaussian,107,,,True,
2021,gaussian,123,,,False,
2021,gaussian,126,,,False,
2021,gaussian,128,,,False,
2021,gaussian,129,,,True,
2021,gaussian,131,-24.304894705768675,,True,
2021,gaussian,134,-55.68158340244554,-35.358699155796785,True,20.322884246648755
2021,gaussian,136,,,False,
2021,gaussian,137,-126.45818582363427,-136.55606269882992,True,10.097876875195652
2021,gaussian,138,,,False,
2021,gaussian,143,,,False,
2021,gaussian,147,,,False,
2021,gaussian,148,-38.255245721316896,-38.255245721316896,True,0.0
2021,gaussian,150,,,False,
2021,gaussian,151,7.7615081233670935,-12.561376123339869,True,20.322884246706963
2021,gaussian,157,,,True,
2021,gaussian,158,,,False,
